t,vce,ic,p
2.0E-8,0.00460832937020178,1.0,0.00460832937020178
4.0E-8,0.00460832937020178,1.0,0.00460832937020178
6.000000000000001E-8,0.00460832937020178,1.0,0.00460832937020178
8.0E-8,0.00460832937020178,1.0,0.00460832937020178
1.0E-7,0.0057248286571929385,1.0,0.0057248286571929385
1.2000000000000002E-7,0.007422797308993045,1.0,0.007422797308993045
1.4E-7,0.00912076596079315,1.0,0.00912076596079315
1.6E-7,0.010818734612593254,1.0,0.010818734612593254
1.8E-7,0.012516703264393358,1.0,0.012516703264393358
2.0E-7,0.014156645534433382,1.0,0.014156645534433382
2.2E-7,0.015601775921483681,1.0,0.015601775921483681
2.4000000000000003E-7,0.01704690630853398,1.0,0.01704690630853398
2.6E-7,0.018492036695584278,1.0,0.018492036695584278
2.8E-7,0.01993716708263458,1.0,0.01993716708263458
3.0E-7,0.021382297469684872,1.0,0.021382297469684872
3.2E-7,0.022827427856735173,1.0,0.022827427856735173
3.4000000000000003E-7,0.024272507098644494,1.0,0.024272507098644494
3.6E-7,0.025717577456186597,1.0,0.025717577456186597
3.8E-7,0.027162647813728708,1.0,0.027162647813728708
4.0E-7,0.02860771817127081,1.0,0.02860771817127081
4.2E-7,0.03005278852881292,1.0,0.03005278852881292
4.4E-7,0.03149785888635503,1.0,0.03149785888635503
4.6E-7,0.032761151332145765,1.0,0.032761151332145765
4.800000000000001E-7,0.03382272398557107,1.0,0.03382272398557107
5.0E-7,0.03488429663899636,1.0,0.03488429663899636
5.2E-7,0.035945869292421655,1.0,0.035945869292421655
5.4E-7,0.03885792065336997,1.0,0.03885792065336997
5.6E-7,0.05393827139409077,1.0,0.05393827139409077
5.800000000000001E-7,0.06901862213481155,0.9999291105349339,0.06901372944160881
6.0E-7,0.09962072258511696,0.9994942058412775,0.0995703350055457
6.2E-7,0.13727816381250646,0.9990593011476209,0.13714902640135132
6.4E-7,0.18213631719927725,0.9986243964539643,0.18188576983547605
6.6E-7,0.24979672575742196,0.9981894917603077,0.24934446672719
6.800000000000001E-7,0.31837417095837567,0.9977545870666512,0.3176592894772615
7.0E-7,0.4011922099761723,0.9973196823729946,0.4001168874239559
7.2E-7,0.4840102489939693,0.996884777679338,0.4825024494628742
7.4E-7,0.5699419576584739,0.9964498729856814,0.5679185913179969
7.6E-7,0.6620823608879699,0.995105650427672,0.6588418983681119
7.8E-7,0.7525157087372971,0.9934591296589281,0.7475936010568267
8.0E-7,0.8426080551219591,0.9918126088901843,0.8357092934223945
8.2E-7,0.9334179093511314,0.9901660881214405,0.9242387598847032
8.4E-7,1.025405917147973,0.9845171455861013,1.0095297066176205
8.6E-7,1.1173939249448148,0.9418300476900837,1.0523951736193848
8.8E-7,1.1725290969813504,0.877052775695015,1.028369899090663
9.000000000000001E-7,1.1980221041880523,0.782473836316184,0.9374209518556124
9.2E-7,1.2144421368538314,0.6852760742079026,0.83222813989585
9.4E-7,1.2308621695196105,0.561254465928157,0.6908268895849016
9.600000000000001E-7,1.2472822021853895,0.44255945257851903,0.5519965286100957
9.8E-7,1.2268862545800283,0.326459969205461,0.4005292488887994
1.0E-6,1.1684032959739246,0.23488946637451144,0.2744456267015355
1.02E-6,1.0939281050192116,0.17443037343034645,0.19081428786445231
1.04E-6,1.0347845524261496,0.16040940733655315,0.16598917677569908
1.06E-6,1.0170498146068454,0.15392427799402847,0.15654865839731918
1.08E-6,1.0152297483977624,0.14715351851155883,0.14939462957433533
1.1E-6,1.0174943949996602,0.1403827590290892,0.1428386704666862
1.12E-6,1.0238273500306183,0.1295245441298179,0.13261077078035532
1.14E-6,1.0321319212408262,0.11823595280066813,0.12203510112389325
1.1600000000000001E-6,1.0305842230606346,0.10701006812696254,0.11028288792029126
1.18E-6,1.0290365248804432,0.09578418345325705,0.09856542327925048
1.2E-6,1.0274236181326257,0.08455829877955146,0.08687719327522635
1.22E-6,1.0252548859750437,0.07469015604728231,0.07657644742171464
1.24E-6,1.0230861538174614,0.06739975526179844,0.06895575637903156
1.26E-6,1.0209174216598793,0.06010935447631456,0.061366687189598784
1.28E-6,1.0187486895022972,0.05281895369083068,0.053809239853416284
1.3E-6,1.0165799573447152,0.047195111996919066,0.04797760494070704
1.32E-6,1.014411225187133,0.04194956899250546,0.042554113677759624
1.34E-6,1.0132196456322504,0.03670402598809186,0.03718924020493134
1.3600000000000001E-6,1.0123894786838459,0.03145848298367825,0.03184823718803066
1.3800000000000001E-6,1.0115593117354413,0.02640570386837327,0.026710935630981546
1.4E-6,1.0107291447870368,0.02147616723954763,0.02170658814733135
1.42E-6,1.0098989778386323,0.01654663061072193,0.016710425340441502
1.44E-6,1.0092057884367145,0.011617093981896236,0.011724038491343002
1.46E-6,1.0092057884367145,0.0071553035533952975,0.007221173764108326
1.48E-6,1.0092057884367145,0.0056905535936419074,0.0057429396261127605
1.5E-6,1.0092057884367145,0.004225803633888517,0.004264705488117195
1.52E-6,1.0092057884367145,0.0027610536741351282,0.0027864713501216296
1.54E-6,1.0092057884367145,0.0012963037143817373,0.0013082372121260627
1.56E-6,1.0092057884367145,-1.73101361671585E-4,-1.7469489618524082E-4
1.5800000000000001E-6,1.0092057884367145,-0.0016783305935982997,-0.001693780949969831
1.6E-6,1.0080332936660075,-0.003183559825524998,-0.003209134296506744
1.62E-6,1.006637466558023,-0.004688789057451713,-0.004719910738018173
1.64E-6,1.0052416394500385,-0.006194018289378427,-0.006226485099998294
1.66E-6,1.0038458123420542,-0.007845137547328507,-0.007875308474133137
1.68E-6,1.0024499852340698,-0.009984671240226384,-0.010009133537331981
1.7E-6,1.0010541581260852,-0.01212420493312426,-0.012136985762276835
1.72E-6,0.9996583310181009,-0.014263738626022137,-0.014258865148967709
1.74E-6,0.9982625039101164,-0.016403272318920015,-0.016374771697404596
1.76E-6,0.9968666768021319,-0.018437269108341293,-0.01837949918533879
1.7800000000000001E-6,0.9954708496941475,-0.019169644088217988,-0.01908282188883275
1.8000000000000001E-6,0.9953801209321285,-0.019902019068094686,-0.019810074146793616
1.82E-6,0.9953801209321285,-0.02063439404797137,-0.020539065642830933
1.84E-6,0.9953801209321285,-0.02136676902784807,-0.021268057138868268
1.86E-6,0.9953801209321285,-0.022013677075017245,-0.02191197654909149
1.88E-6,0.9953801209321285,-0.021192107823848304,-0.021094202848508832
1.9E-6,0.9953801209321285,-0.020370538572679366,-0.020276429147926177
1.9200000000000003E-6,0.9953801209321285,-0.019548969321510415,-0.019458655447343508
1.94E-6,0.9953801209321285,-0.018727400070341484,-0.01864088174676086
1.96E-6,0.9966202933868235,-0.019307452911709096,-0.0192421993854198
1.98E-6,0.9985136864474266,-0.020902473475258344,-0.02087140584564976
