t,vce
8.1516E-9,0.00460832937020178
3.2575E-8,0.00460832937020178
8.6849E-8,0.00460832937020178
1.9541E-7,0.013824988110605339
3.2296E-7,0.023041307154018614
4.5052E-7,0.032257965894422175
5.3736E-7,0.03686731435559481
5.8625E-7,0.07373123174128676
6.352E-7,0.1658978191453224
6.7879E-7,0.31336367959779876
7.3332E-7,0.539167062979822
7.6333E-7,0.677423738025681
8.1243E-7,0.8986004484000271
8.6153E-7,1.1244310075412731
8.9692E-7,1.216590801005503
9.4039E-7,1.2672735919559752
8.8331E-7,1.1843195869284597
9.6751E-7,1.2534479244513894
9.8917E-7,1.2073850125687886
1.0135E-6,1.1198111284734016
1.0297E-6,1.0553026700183437
1.0459E-6,1.0230314559413005
1.0676E-6,1.0138256675045858
1.1084E-6,1.0184455465724573
1.1382E-6,1.0322712140770434
1.1979E-6,1.0276513350091718
1.3254E-6,1.0138256675045858
1.4367E-6,1.0092057884367145
1.5832E-6,1.0092057884367145
1.7813E-6,0.9953801209321285
1.86E-6,0.9953801209321285
1.9469E-6,0.9953801209321285
1.9957E-6,1.0
