t,vce,ic,p
2.0E-8,1.0,-0.008677299743929083,-0.008677299743929083
4.0E-8,1.0,-0.009988977987298257,-0.009988977987298257
6.000000000000001E-8,1.0,-0.011106532813904705,-0.011106532813904705
8.0E-8,1.0,-0.01103161522325442,-0.01103161522325442
1.0E-7,0.996677796327212,-0.010956697632604134,-0.010920297251487469
1.2000000000000002E-7,0.993338898163606,-0.010883327520055806,-0.010810832567125884
1.4E-7,0.99,-0.010813568189745376,-0.010705432507847923
1.6E-7,0.99,-0.010743808859434949,-0.010636370770840599
1.8E-7,0.99,-0.010672185998627315,-0.010565464138641041
2.0E-7,0.99,-0.01059497254632807,-0.01048902282086479
2.2E-7,0.99,-0.010517759094028826,-0.010412581503088538
2.4000000000000003E-7,0.99,-0.010283687943262409,-0.010180851063829785
2.6E-7,0.99,-0.009160756501182032,-0.009069148936170212
2.8E-7,0.9930909090909091,-0.008037825059101653,-0.007982290995056951
3.0E-7,0.9967272727272727,-0.006914893617021276,-0.006892263056092842
3.2E-7,1.0,-0.006816604995374655,-0.006816604995374655
3.4000000000000003E-7,1.0,-0.007556660499537468,-0.007556660499537468
3.6E-7,1.0,-0.008296716003700279,-0.008296716003700279
3.8E-7,1.0,-0.00903677150786309,-0.00903677150786309
4.0E-7,1.0,-0.009776827012025901,-0.009776827012025901
4.2E-7,1.0,-0.00845128905501246,-0.00845128905501246
4.4E-7,1.0,-0.00701703565267395,-0.00701703565267395
4.6E-7,1.0,-0.005582782250335443,-0.005582782250335443
4.800000000000001E-7,1.0,-0.00414852884799693,-0.00414852884799693
5.0E-7,0.9979166666666667,-0.002714275445658428,-0.0027086207051466396
5.2E-7,0.9895833333333333,2.570616287600827E-4,2.543839034604985E-4
5.4E-7,0.9764367816091953,0.005534024211298614,0.005403624790227784
5.6E-7,0.9488505747126437,0.024851376720901174,0.023580243084027494
5.800000000000001E-7,0.926078431372549,0.048811013767209116,0.045202827063240913
6.0E-7,0.9031666666666667,0.0844806007509386,0.07630006257822272
6.2E-7,0.8681666666666666,0.13665587419056419,0.11864007477644146
6.4E-7,0.8320289855072462,0.20453044754218627,0.1701752607738683
