t,ic
4.1494E-9,1.0
9.0988E-8,1.0
2.3753E-7,1.0
4.0035E-7,1.0
5.7674E-7,1.0
7.4499E-7,0.9963413642646142
8.3453E-7,0.9889698907829481
8.4808E-7,0.9779397815658961
8.5618E-7,0.9522209273964064
8.724E-7,0.9081004905281985
8.832E-7,0.8639800536599908
8.9667E-7,0.797799398357679
9.1824E-7,0.6985284154042115
9.2898E-7,0.617659015149462
9.5053E-7,0.5073579229789426
9.6665E-7,0.39705683080842297
9.882E-7,0.28309710290251766
1.0044E-6,0.21691373749966122
1.0233E-6,0.16544350795414509
1.0477E-6,0.15808829507574731
1.102E-6,0.13970568308084227
1.1345E-6,0.12132307108593729
1.2131E-6,0.07720534431827421
1.2837E-6,0.05147022954551614
1.3678E-6,0.02941272121195696
1.4573E-6,0.007353044797962004
1.5577E-6,0.0
1.6554E-6,-0.007353044797962004
1.7585E-6,-0.01838234098485054
1.8589E-6,-0.02205886338383154
1.9484E-6,-0.01838234098485054
1.9945E-6,-0.02205886338383154
